check_out	limits,request_info
room_ammenities	room_ammenities,wrong_notworking_notshowing
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


room_ammenities	request_info,wifi
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


request_info	gym,request_info
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


parking	parking
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-time_period	B-time_period	
I-time_period	O	
O	O	


cancel_close_leave_freeze	booking,cancel_close_leave_freeze,spa
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-people	B-date	


lost_stolen	lost_stolen
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


how_much	parking,request_info
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


cancel_close_leave_freeze	booking,cancel_close_leave_freeze,restaurant
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	B-person_name	
O	O	
O	O	


make_open_apply_setup_get_activate	booking,existing,spa
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	B-date	
O	I-date	
O	O	
B-time	B-time	
I-time	I-time	


request_info	request_info,restaurant
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


request_info	room_service
O	O	
O	O	


existing	booking,existing
O	O	
O	O	
O	O	
B-people	B-date_period	
O	I-date_period	
O	O	
O	O	
O	O	
O	O	
O	O	
B-time	B-date_from	
I-time	I-date_from	


make_open_apply_setup_get_activate	booking,make_open_apply_setup_get_activate,restaurant
O	O	
O	O	
O	O	
O	O	
B-time	O	
I-time	B-time	
I-time	I-time	


booking	booking,existing,restaurant
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-people	B-time	


change	booking,change
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


make_open_apply_setup_get_activate	booking,make_open_apply_setup_get_activate
O	O	
O	O	
O	O	
O	O	
O	O	
O	B-adults	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-date_from	B-date_from	
O	O	
B-date_to	B-date_to	
I-date_to	O	
I-date_to	O	
I-date_to	B-rooms	
I-date_to	I-rooms	
I-date_to	I-rooms	


booking,make_open_apply_setup_get_activate	booking,make_open_apply_setup_get_activate
O	O	
O	O	
B-rooms	O	
I-rooms	O	
I-rooms	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	B-date_from	
O	I-date_from	
O	I-date_from	


make_open_apply_setup_get_activate	booking,make_open_apply_setup_get_activate
B-rooms	B-rooms	
I-rooms	I-rooms	
O	O	
B-adults	B-adults	
O	O	
B-kids	B-date_period	
O	I-date_period	
O	O	
O	O	
B-date_from	B-date_from	
I-date_from	I-date_from	


change	change
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	B-rooms	
O	I-rooms	
O	I-rooms	
B-date_from	O	
O	O	


make_open_apply_setup_get_activate	booking,make_open_apply_setup_get_activate
O	O	
O	O	
O	O	
O	O	
O	O	
B-adults	B-date_period	
O	I-date_period	
O	O	


